raw_id,cluster_index,merge_type,ID,survived
14639,267,merged,268.0,True
6639,1010,merged,987.0,True
28058,627,merged,620.0,True
11430,243,merged,244.0,True
37187,1084,merged,1055.0,True
37680,768,merged,756.0,True
32550,404,merged,404.0,True
15533,1086,merged,1057.0,True
7266,152,merged,153.0,True
23193,1054,merged,1026.0,True
29118,804,merged,792.0,True
38912,926,merged,908.0,True
32707,264,merged,265.0,True
26998,369,merged,369.0,True
37326,768,merged,756.0,True
8048,666,merged,657.0,True
29733,687,merged,678.0,True
22069,97,merged,98.0,True
27666,419,merged,419.0,True
24070,521,merged,517.0,True
31013,464,merged,463.0,True
35136,740,merged,731.0,True
25419,166,merged,167.0,True
41056,1071,merged,1042.0,True
1217,77,merged,78.0,True
24963,423,merged,423.0,True
17402,799,merged,787.0,True
15279,1086,merged,1057.0,True
5606,53,merged,54.0,True
18184,1158,merged,1127.0,True
736,350,merged,350.0,True
36172,568,merged,563.0,True
10955,293,merged,293.0,True
20126,1114,merged,1084.0,True
39373,1071,merged,1042.0,True
944,197,merged,198.0,True
33597,464,merged,463.0,True
35497,731,merged,722.0,True
3697,40,merged,41.0,True
12690,628,merged,621.0,True
38337,825,merged,812.0,True
11110,787,merged,775.0,True
9488,1249,merged,1210.0,True
17258,1185,merged,1152.0,True
41021,1033,merged,1007.0,True
19287,577,merged,572.0,True
22904,1019,merged,994.0,True
12178,134,merged,135.0,True
16760,910,merged,892.0,True
9974,1261,seed,1221.0,True
37444,768,merged,756.0,True
2270,366,merged,366.0,True
18711,427,merged,427.0,True
16762,1107,merged,1077.0,True
12230,243,merged,244.0,True
27008,369,merged,369.0,True
21612,1014,merged,989.0,True
1248,1240,merged,1202.0,True
30242,299,merged,299.0,True
6190,1199,merged,1165.0,True
24721,525,merged,521.0,True
34685,1084,merged,1055.0,True
33801,404,merged,404.0,True
28426,633,merged,625.0,True
27557,1255,merged,1216.0,True
39104,955,merged,935.0,True
23538,1092,merged,1063.0,True
8863,834,merged,821.0,True
40928,566,merged,561.0,True
10439,286,merged,286.0,True
18752,527,merged,523.0,True
38267,652,merged,643.0,True
23619,1014,merged,989.0,True
25086,603,merged,597.0,True
32943,1262,seed,1222.0,True
25683,525,merged,521.0,True
11704,1263,seed,,False
27145,961,merged,941.0,True
4354,987,merged,965.0,True
18044,1158,merged,1127.0,True
16464,1164,merged,1133.0,True
35845,831,merged,818.0,True
38724,678,merged,669.0,True
30444,1078,merged,1049.0,True
22891,1005,merged,982.0,True
20647,79,merged,80.0,True
18606,527,merged,523.0,True
4837,1007,merged,984.0,True
39400,643,merged,634.0,True
