cut,n_candidates,matched_candidates,matched_true_clusters,recovery,purity_proxy,candidate_density,f1
PPM_richness/rmax^2 >= 9.538 & PPM_z_rms <= 0.06272,356,178,205,0.17255892255892255,0.5,0.2996632996632997,0.25657071339173965
PPM_significance >= 2.4423 & PPM_z_rms <= 0.05523,539,207,228,0.1919191919191919,0.38404452690166974,0.4537037037037037,0.2559380490661808
PPM_significance >= 4.5953 & PPM_z_rms <= 0.06703,284,169,191,0.16077441077441076,0.5950704225352113,0.23905723905723905,0.25315274335727955
PPM_significance >= 4.2228 & PPM_z_rms <= 0.06272,278,163,189,0.1590909090909091,0.5863309352517986,0.234006734006734,0.25027418293485415
PPM_richness/rmax^2 >= 14.007 & PPM_z_rms <= 0.0852,358,185,194,0.1632996632996633,0.5167597765363129,0.30134680134680136,0.24817447585329425
PPM_significance >= 4.5953 & PPM_richness >= 53,366,186,195,0.16414141414141414,0.5081967213114754,0.30808080808080807,0.24813742996120927
PPM_richness/rmax^2 >= 5.003 & PPM_z_rms <= 0.05523,415,181,205,0.17255892255892255,0.43614457831325304,0.3493265993265993,0.24728176659346954
PPM_significance >= 5.8001 & PPM_z_rms <= 0.08202,289,169,186,0.15656565656565657,0.5847750865051903,0.24326599326599327,0.2470003064519931
PPM_significance >= 2.6151 & PPM_z_rms <= 0.05523,478,188,209,0.17592592592592593,0.39330543933054396,0.40235690235690236,0.24310896345198396
PPM_richness/rmax^2 >= 11.006 & PPM_z_rms <= 0.06703,317,163,184,0.15488215488215487,0.5141955835962145,0.2668350168350168,0.23805819694251742
PPM_richness/rmax^2 >= 14.007 & PPM_z_rms <= 0.08202,310,162,174,0.14646464646464646,0.5225806451612903,0.2609427609427609,0.22880241562363024
PPM_significance >= 5.8001 & PPM_richness >= 41,303,156,172,0.1447811447811448,0.5148514851485149,0.255050505050505,0.22600697427603986
PPM_significance >= 2.8866 & PPM_z_rms <= 0.05523,399,163,183,0.15404040404040403,0.40852130325814534,0.33585858585858586,0.2237222540978996
PPM_significance >= 5.2171 & PPM_richness >= 53,305,156,170,0.14309764309764308,0.5114754098360655,0.25673400673400676,0.22362951032557826
PPM_richness/rmax^2 >= 13.007 & PPM_z_rms <= 0.07512,264,145,165,0.1388888888888889,0.5492424242424242,0.2222222222222222,0.2217125382262997
PPM_significance >= 4.5953 & PPM_z_rms <= 0.06272,209,133,159,0.13383838383838384,0.6363636363636364,0.17592592592592593,0.2211624441132638
PPM_richness/rmax^2 >= 6.388 & PPM_z_rms <= 0.05523,336,148,172,0.1447811447811448,0.44047619047619047,0.2828282828282828,0.21793027874803095
PPM_significance >= 5.8001 & PPM_z_rms <= 0.07512,205,127,154,0.12962962962962962,0.6195121951219512,0.17255892255892255,0.2143976847944049
PPM_richness/rmax^2 >= 12.006 & PPM_z_rms <= 0.06703,263,134,159,0.13383838383838384,0.5095057034220533,0.22138047138047137,0.21199050788770651
PPM_significance >= 3.0933 & PPM_z_rms <= 0.05523,338,148,166,0.13973063973063973,0.4378698224852071,0.2845117845117845,0.21185519893761967
PPM_significance >= 5.2171 & PPM_z_rms <= 0.06703,183,126,147,0.12373737373737374,0.6885245901639344,0.15404040404040403,0.20977524081341423
PPM_richness/rmax^2 >= 3.136 & PPM_z_rms <= 0.04725,332,137,163,0.13720538720538722,0.4126506024096386,0.27946127946127947,0.20593714264635363
PPM_z_rms <= 0.04725,403,145,171,0.14393939393939395,0.3598014888337469,0.3392255892255892,0.20562003209314475
PPM_richness/rmax^2 >= 11.006 & PPM_z_rms <= 0.06272,221,114,150,0.12626262626262627,0.5158371040723982,0.18602693602693604,0.20286863366195682
PPM_significance >= 2.269 & PPM_z_rms <= 0.04725,365,137,162,0.13636363636363635,0.37534246575342467,0.30723905723905726,0.20004867364322218
PPM_richness/rmax^2 >= 4.002 & PPM_z_rms <= 0.04725,308,127,153,0.12878787878787878,0.41233766233766234,0.25925925925925924,0.19627272727272727
PPM_significance >= 5.8001 & PPM_richness >= 53,253,129,141,0.11868686868686869,0.5098814229249012,0.21296296296296297,0.19255260023818974
PPM_richness/rmax^2 >= 14.007 & PPM_z_rms <= 0.07512,221,119,136,0.11447811447811448,0.5384615384615384,0.18602693602693604,0.18881396271320905
PPM_richness/rmax^2 >= 7.504 & PPM_z_rms <= 0.05523,267,119,141,0.11868686868686869,0.44569288389513106,0.22474747474747475,0.18745496288103494
PPM_significance >= 3.6009 & PPM_z_rms <= 0.05523,231,111,137,0.11531986531986532,0.4805194805194805,0.19444444444444445,0.18600128428584534
PPM_significance >= 2.4423 & PPM_z_rms <= 0.04725,329,122,144,0.12121212121212122,0.3708206686930091,0.2769360269360269,0.18270310745039312
PPM_richness/rmax^2 >= 12.006 & PPM_z_rms <= 0.06272,187,97,131,0.11026936026936027,0.5187165775401069,0.1574074074074074,0.18187543386315327
PPM_rmax_mean >= 2.7659,202,100,132,0.1111111111111111,0.49504950495049505,0.17003367003367004,0.18148820326678763
PPM_significance >= 5.2171 & PPM_z_rms <= 0.06272,134,101,121,0.10185185185185185,0.753731343283582,0.1127946127946128,0.1794540461960911
PPM_significance >= 7.1566 & PPM_richness >= 18,200,109,127,0.1069023569023569,0.545,0.16835016835016836,0.1787438989747695
PPM_significance >= 7.1566,203,109,127,0.1069023569023569,0.5369458128078818,0.17087542087542087,0.178305307426275
PPM_significance >= 7.1566 & PPM_richness >= 6,203,109,127,0.1069023569023569,0.5369458128078818,0.17087542087542087,0.178305307426275
