n_members_threshold,candidates_kept,matched_true_clusters,match_rate,participating_candidates,purity_proxy,candidate_density,matched_pairs,median_distance_mpc_h,median_abs_dz,field_id,i_limit
10,10341,890,0.9478168264110756,2563,0.24784837056377526,11.012779552715655,3319,1.0091566478857845,0.04254422740051156,2,23.5
15,8623,851,0.906283280085197,2291,0.26568479647454485,9.183173588924388,2988,1.0017158927438494,0.041949948610291055,2,23.5
20,7374,801,0.853035143769968,2019,0.27379983726607,7.853035143769968,2616,0.9980090543636817,0.042342002532042206,2,23.5
30,5499,763,0.8125665601703941,1540,0.2800509183487907,5.856230031948882,2023,0.9751517403172751,0.04210914402979188,2,23.5
50,4172,704,0.7497337593184239,1248,0.29913710450623204,4.443024494142705,1633,0.9759239521877029,0.041781779853220846,2,23.5
80,2759,622,0.6624068157614483,942,0.34142805364262413,2.9382321618743346,1264,0.9601348632729301,0.04100849406119278,2,23.5
100,1991,526,0.5601703940362087,728,0.3656454043194375,2.1203407880724177,984,0.9502254812927549,0.04054450485598993,2,23.5
3,11896,903,0.9616613418530351,2689,0.22604236718224613,12.668796592119277,3443,1.014315024594034,0.04252588998857454,2,24.0
5,11821,903,0.9616613418530351,2687,0.2273073344048727,12.588924387646433,3441,1.014315024594034,0.04251937732334521,2,24.0
7,11643,901,0.9595314164004259,2675,0.22975178218672163,12.399361022364218,3429,1.0138275272331314,0.04246421023062852,2,24.0
10,11134,894,0.952076677316294,2624,0.23567451050835278,11.857294994675186,3371,1.013770896567954,0.04236504522641815,2,24.0
15,9684,857,0.9126730564430245,2394,0.24721189591078066,10.313099041533546,3094,1.0140712759135826,0.04196136356001795,2,24.0
20,8279,817,0.8700745473908413,2108,0.2546201232032854,8.816826411075612,2716,1.0047116670506848,0.04250194365481097,2,24.0
30,6116,778,0.8285410010649628,1612,0.26357096141268804,6.513312034078807,2097,0.9816057661787123,0.04210914402979188,2,24.0
50,4720,730,0.777422790202343,1296,0.2745762711864407,5.026624068157615,1700,0.9710128955581361,0.04152482101280347,2,24.0
80,3367,643,0.6847710330138446,999,0.2967032967032967,3.5857294994675186,1334,0.9660533444130281,0.04058437604966064,2,24.0
100,2507,552,0.5878594249201278,788,0.31431990426804945,2.66986155484558,1063,0.9592960439074238,0.04054564239004188,2,24.0
3,4090,466,0.8534798534798534,1276,0.3119804400977995,7.490842490842491,1680,1.032548901602326,0.04088924551644657,3,21.5
5,3258,439,0.8040293040293041,1085,0.33302639656230815,5.967032967032967,1451,1.0207492733004024,0.040255372724587235,3,21.5
7,2671,395,0.7234432234432234,932,0.3489329839011606,4.891941391941392,1271,1.0147991322894858,0.039658008211913565,3,21.5
10,2129,376,0.6886446886446886,766,0.35979333020197274,3.899267399267399,1064,1.0149123016621506,0.039516967964176614,3,21.5
15,1614,338,0.6190476190476191,615,0.38104089219330856,2.956043956043956,864,0.9936881056828728,0.038841235356346315,3,21.5
20,1257,303,0.554945054945055,507,0.4033412887828162,2.302197802197802,712,0.9900402491479512,0.035910018004134486,3,21.5
30,800,228,0.4175824175824176,333,0.41625,1.465201465201465,485,0.949358061800705,0.03393187426959987,3,21.5
50,327,131,0.23992673992673993,145,0.4434250764525994,0.5989010989010989,226,0.8996958371707106,0.033968152484692704,3,21.5
80,42,27,0.04945054945054945,29,0.6904761904761905,0.07692307692307693,48,0.7670646668171418,0.030230076076495582,3,21.5
100,12,14,0.02564102564102564,11,0.9166666666666666,0.02197802197802198,20,0.5133859393613733,0.022677329584712164,3,21.5
3,5199,498,0.9120879120879121,1434,0.27582227351413735,9.521978021978022,1867,1.0026816453455027,0.042537593968423604,3,22.0
5,4353,473,0.8663003663003663,1291,0.2965770732827935,7.972527472527473,1701,1.0038813424394648,0.04210801439116041,3,22.0
7,3687,452,0.8278388278388278,1164,0.31570382424735555,6.752747252747253,1553,1.0038813424394648,0.04226237595960236,3,22.0
10,2899,424,0.7765567765567766,968,0.33390824422214554,5.309523809523809,1308,0.9980793947879981,0.04213002784765463,3,22.0
15,2243,396,0.7252747252747253,801,0.3571110120374498,4.108058608058608,1091,0.9909135232276663,0.04181931297517627,3,22.0
