ID,RA,Dec,z_cen,significance,scale_mpc,det_unique_slices,z_min_det,z_max_det,z_peak,z_range,best_scale_mpc,delta,scales_hit,n_members,matched,match_status,comoving_distance_mpc
742,302.421295,-60.097221,0.38,0.914,0.4,11,0.33,0.43,0.38,0.33-0.43,1.2,5.959,0.4|0.8|1.2,100,True,matched,1481.741164434178
837,299.070374,-60.933971,0.77,0.888,0.4,13,0.7,0.82,0.77,0.70-0.82,1.2,4.95,0.4|0.8|1.2,68,True,matched,2704.8409380287226
892,298.867828,-60.508091,0.61,0.879,0.4,13,0.55,0.67,0.61,0.55-0.67,1.2,4.654,0.4|0.8|1.2,87,True,matched,2237.116139051666
927,298.798035,-59.465343,0.7,0.873,0.4,13,0.64,0.76,0.7,0.64-0.76,1.2,4.414,0.4|0.8|1.2,69,False,unmatched,2505.7067244068617
1105,301.114532,-60.949051,0.14,0.84,0.4,7,0.1,0.18,0.14,0.10-0.18,1.2,12.012,0.4|0.8|1.2,176,True,matched,580.2189723488522
1187,298.627899,-60.439453,0.47,0.826,0.4,7,0.42,0.48,0.47,0.42-0.48,1.2,4.48,0.4|0.8|1.2,74,True,matched,1789.5696283483735
1197,302.390076,-59.981754,0.47,0.825,0.4,11,0.42,0.52,0.47,0.42-0.52,1.2,5.062,0.4|0.8|1.2,81,True,matched,1789.5696283483735
1202,301.776886,-59.875034,0.31,0.824,0.4,7,0.26,0.36,0.31,0.26-0.36,1.2,8.826,0.4|0.8|1.2,71,True,matched,1231.0305684701946
1437,301.607056,-59.025673,0.54,0.792,0.4,11,0.48,0.6,0.54,0.48-0.60,1.2,5.043,0.4|0.8|1.2,74,True,matched,2017.9950639141682
1479,301.638123,-59.568977,0.72,0.788,0.4,13,0.66,0.78,0.72,0.66-0.78,1.2,3.766,0.4|0.8|1.2,67,True,matched,2563.454834352791
1550,299.28244,-60.744331,0.48,0.78,0.4,6,0.48,0.53,0.48,0.48-0.53,1.2,4.243,0.4|0.8|1.2,70,True,matched,1822.7831032574256
1673,298.956329,-59.134678,0.7,0.766,0.4,6,0.64,0.7,0.7,0.64-0.70,1.2,4.034,0.4|0.8|1.2,68,False,unmatched,2505.7067244068617
1795,302.024933,-60.616882,0.44,0.755,0.4,8,0.42,0.49,0.44,0.42-0.49,1.2,4.328,0.4|0.8|1.2,80,True,matched,1688.7503234479443
1812,301.454834,-60.384125,0.37,0.754,0.4,11,0.32,0.42,0.37,0.32-0.42,1.2,4.733,0.4|0.8|1.2,77,True,matched,1446.535764619144
